nombre,categorias,lanzamiento,reseñas,total_reseñas,precio,link
Marvel's Guardians of the Galaxy,Un jugadorBuena tramaAcciónDisparos en tercera personaAcción y aventura,26 OCT 2021,Muy positivas,| 26.969 Reseñas de usuarios,"-80%
$29.99
$5.99",https://store.steampowered.com/app/1088850/Marvels_Guardians_of_the_Galaxy?snr=1_241_4_action_salebrowseall
Sea of Thieves: 2024 Edition,MultijugadorMundo abiertoAventuraPiratasCooperativos,3 JUN 2020,Muy positivas,| 289.087 Reseñas de usuarios,$23.99,https://store.steampowered.com/app/1172620/Sea_of_Thieves_2024_Edition?snr=1_241_4_action_salebrowseall
Assassin's Creed Valhalla,AcciónMundo abiertoRolAventuraContenido sexual,6 DIC 2022,Mayormente positivas,| 21.826 Reseñas de usuarios,"-75%
$47.99
$11.99",https://store.steampowered.com/app/2208920/Assassins_Creed_Valhalla?snr=1_241_4_action_salebrowseall
Call of Duty®: Black Ops 6,AcciónDisparosDisparos en primera personaMultijugadorMilitares,25 OCT 2024,,,"Precompra
$69.99",https://store.steampowered.com/app/2933620/Call_of_Duty_Black_Ops_6?snr=1_241_4_action_salebrowseall
The Elder Scrolls® Online,RolMMORPGMundo abiertoAventuraFantasía,22 MAY 2017,Muy positivas,| 121.837 Reseñas de usuarios,$11.99,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online?snr=1_241_4_action_salebrowseall
Ghost of Tsushima: VERSIÓN DEL DIRECTOR,AcciónMundo abiertoAventuraBuena tramaUn jugador,16 MAY 2024,Muy positivas,| 24.199 Reseñas de usuarios,$49.99,https://store.steampowered.com/app/2215430/Ghost_of_Tsushima_VERSION_DEL_DIRECTOR?snr=1_241_4_action_salebrowseall
Black Desert,MMORPGMultijugador masivoMundo abiertoRolPersonalización de personajes,15 NOV 2017,Mayormente positivas,| 55.695 Reseñas de usuarios,$3.59,https://store.steampowered.com/app/582660/Black_Desert?snr=1_241_4_action_salebrowseall
GUILTY GEAR -STRIVE-,LuchaLucha en 2DGran banda sonoraAnimeJcJ (PvP),11 JUN 2021,Muy positivas,| 36.648 Reseñas de usuarios,$19.99,https://store.steampowered.com/app/1384160/GUILTY_GEAR_STRIVE?snr=1_241_4_action_salebrowseall
Mortal Kombat 1,AcciónLuchaGoreMultijugadorSangrientos,19 SEPT 2023,Mayormente positivas,| 18.582 Reseñas de usuarios,$35.00,https://store.steampowered.com/app/1971870/Mortal_Kombat_1?snr=1_241_4_action_salebrowseall
Cyberpunk 2077,CyberpunkMundo abiertoDesnudosRolUn jugador,9 DIC 2020,Muy positivas,| 667.867 Reseñas de usuarios,$44.99,https://store.steampowered.com/app/1091500/Cyberpunk_2077?snr=1_241_4_action_salebrowseall
Plants vs. Zombies™ La Batalla de Neighborville,Disparos en tercera personaMultijugadorZombisDisparos de héroeDisparos,4 JUN 2020,Mayormente positivas,| 11.912 Reseñas de usuarios,"-90%
$29.99
$2.99",https://store.steampowered.com/app/1262240/Plants_vs_Zombies_La_Batalla_de_Neighborville?snr=1_241_4_action_salebrowseall
Wallpaper Engine,AdultosUtilidadesSoftwareAnimeDiseño e ilustración,16 NOV 2018,Extremadamente positivas,| 742.569 Reseñas de usuarios,$2.79,https://store.steampowered.com/app/431960/Wallpaper_Engine?snr=1_241_4_action_salebrowseall
Total War: WARHAMMER II,EstrategiaFantasíaEstrategia por turnosETRGran estrategia,28 SEPT 2017,Muy positivas,| 83.177 Reseñas de usuarios,"-75%
$49.99
$12.49",https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II?snr=1_241_4_action_salebrowseall
Stormgate,ETREstrategiaGuerraTácticas en tiempo realETR de acción,30 JUL 2024,,,"Precompra
$17.50",https://store.steampowered.com/app/2012510/Stormgate?snr=1_241_4_action_salebrowseall
